Date,Equity
2023-04-10,171288.39251611746
2023-04-11,171513.00079248115
2023-04-12,171675.07979912913
2023-04-13,172150.72085495808
2023-04-14,171935.6620277351
2023-04-17,171829.70238658506
2023-04-18,171407.5644088183
2023-04-19,171226.64813263252
2023-04-20,171406.25626510038
2023-04-21,171754.09167969038
2023-04-24,171358.24739065339
2023-04-25,171755.0073802929
2023-04-26,172373.62854448849
2023-04-27,172576.78326387858
2023-04-28,173451.0157105521
2023-05-01,173102.39540973137
2023-05-02,172538.45465294406
2023-05-03,171740.617799396
2023-05-04,172421.37579019187
2023-05-05,172734.54539625748
2023-05-08,172724.34187525784
2023-05-09,172868.3684985988
2023-05-10,172363.81746660423
2023-05-11,173490.52165083273
2023-05-12,173567.17887270174
2023-05-15,173634.54827417366
2023-05-16,173994.15698222475
2023-05-17,174240.4804443056
2023-05-18,174364.62328313445
2023-05-19,173997.6889702631
2023-05-22,174239.5647437031
2023-05-23,175164.029909144
2023-05-24,175848.5815167218
2023-05-25,176672.8428733715
2023-05-26,176424.8188244574
2023-05-29,175931.91027155216
2023-05-30,175884.9479120795
2023-05-31,175930.0788703471
2023-06-01,176502.91500441614
2023-06-02,175645.8192404471
2023-06-05,176433.06012988018
2023-06-06,176368.83027333123
2023-06-07,176166.32962580008
2023-06-08,175665.57221058742
2023-06-09,174848.24401564262
2023-06-12,175269.46629280687
2023-06-13,175322.57692775366
2023-06-14,174695.7144581353
2023-06-15,174078.13980891404
2023-06-16,173932.8050418552
2023-06-19,174746.60124876167
2023-06-20,174635.67066148363
2023-06-21,173917.63057472755
2023-06-22,173816.11862221838
2023-06-23,173702.0484900174
2023-06-26,172437.98921540924
2023-06-27,172428.43976626857
2023-06-28,172338.43947847694
2023-06-29,172669.79228222137
2023-06-30,173533.95202226704
2023-07-03,174081.4101682088
2023-07-04,173968.25573661033
2023-07-05,173454.67851296221
2023-07-06,174682.10976346914
2023-07-07,174727.37153610852
2023-07-10,174750.5256799154
2023-07-11,174755.10418292801
2023-07-12,174868.5202432701
2023-07-13,174813.9706502336
2023-07-14,174548.5482898714
2023-07-17,174298.30039663686
2023-07-18,174298.56202538044
2023-07-19,174051.84612018423
2023-07-20,173725.8567056832
2023-07-21,173792.1795921808
2023-07-24,173686.74320851793
2023-07-25,174416.03333124798
2023-07-26,173145.6949667939
2023-07-27,173670.1297833006
2023-07-28,174276.71602529148
2023-07-31,173290.89891948097
2023-08-01,173145.9565955375
2023-08-02,172988.32527753036
2023-08-03,172350.866843797
2023-08-04,172012.7116927195
2023-08-07,171528.69851709597
2023-08-08,172317.90162210588
2023-08-09,172757.69954006435
2023-08-10,173358.52994969647
2023-08-11,173712.90608287597
2023-08-14,173192.78814063835
2023-08-15,172963.33973251845
2023-08-16,173205.60794907378
2023-08-17,172650.30094082464
2023-08-18,172992.77296617124
2023-08-21,172896.75521727727
2023-08-22,172738.73145615478
2023-08-23,173081.20348150138
2023-08-24,173303.4570991728
2023-08-25,173149.88102669118
2023-08-28,173706.10373554286
2023-08-29,173208.74749399675
2023-08-30,173512.10602217808
2023-08-31,173807.61568805203
2023-09-01,173676.14724440294
2023-09-04,173846.5983708455
2023-09-05,173265.91337446903
2023-09-06,173714.08341222207
2023-09-07,173642.1355077375
2023-09-08,173410.33244092535
2023-09-11,173919.200347189
2023-09-12,173598.57432193137
2023-09-13,172948.034451019
2023-09-14,172242.42172958297
2023-09-15,172531.78311998275
2023-09-18,171961.82490209313
2023-09-19,172763.7170011667
2023-09-20,171820.41456618797
2023-09-21,172592.4809884934
2023-09-22,172704.32727637395
2023-09-25,172675.28648583655
2023-09-26,172440.34387410147
2023-09-27,172637.35031801742
2023-09-28,172635.38810244057
2023-09-29,173156.6833740243
2023-10-02,173225.4917335859
2023-10-03,173311.30596148022
2023-10-04,173156.55255965248
2023-10-05,173145.56415242213
2023-10-06,173304.50361414714
2023-10-09,172518.70168280374
2023-10-10,171918.1329019152
2023-10-11,172265.8375021334
2023-10-12,172358.32326298903
2023-10-13,172289.9073465428
2023-10-16,172313.453933465
2023-10-17,172486.2597185998
2023-10-18,172255.11072364662
2023-10-19,171917.74045879985
